2461091.847222222, , , 07 32 01.61, +41 33 01.5,  383.4641,  -608.841,    n.a.,   n.a.,   14.979,   n.a.,   1.043241615874, 17.1129764,  0.07711293738976, 16.1956301,   43.5738,   99.2,   9.6269,
2461091.854166667, , , 07 32 07.33, +41 31 20.4,  383.8172,  -607.904,    n.a.,   n.a.,   14.980,   n.a.,   1.043310246109, 17.1119973,  0.07717790717000, 16.2017174,   43.5496,   99.1,   9.6883,
2461091.861111111, , , 07 32 13.06, +41 29 39.3,  384.1663,  -606.936,    n.a.,   n.a.,   14.981,   n.a.,   1.043378872415, 17.1110182,  0.07724290019625, 16.2072230,   43.5253,   99.0,   9.7497,
2461091.868055556, , , 07 32 18.79, +41 27 58.5,  384.5093,  -605.938,    n.a.,   n.a.,   14.983,   n.a.,   1.043447494794, 17.1100391,  0.07730791413731, 16.2121480,   43.5011,   98.9,   9.8111,
2461091.875000000, , , 07 32 24.52, +41 26 17.8,  384.8441,  -604.910,    n.a.,   n.a.,   14.984,   n.a.,   1.043516113245, 17.1090600,  0.07737294666850, 16.2164945,   43.4769,   98.8,   9.8723,
2461091.881944444,A, , 07 32 30.25, +41 24 37.3,  385.1686,  -603.852,    n.a.,   n.a.,   14.985,   n.a.,   1.043584727769, 17.1080809,  0.07743799547601, 16.2202659,   43.4527,   98.7,   9.9335,
2461091.888888889,A, , 07 32 35.99, +41 22 56.9,  385.4809,  -602.766,    n.a.,   n.a.,   14.987,   n.a.,   1.043653338364, 17.1071017,  0.07750305826110, 16.2234664,   43.4285,   98.7,   9.9945,
2461091.895833333,A, , 07 32 41.72, +41 21 16.8,  385.7789,  -601.651,    n.a.,   n.a.,   14.988,   n.a.,   1.043721945032, 17.1061225,  0.07756813274439, 16.2261013,   43.4044,   98.6,  10.0554,
2461091.902777778,N, , 07 32 47.46, +41 19 36.8,  386.0606,  -600.508,    n.a.,   n.a.,   14.989,   n.a.,   1.043790547772, 17.1051433,  0.07763321667003, 16.2281770,   43.3802,   98.5,  10.1161,
2461091.909722222,N, , 07 32 53.21, +41 17 57.0,  386.3243,  -599.338,    n.a.,   n.a.,   14.990,   n.a.,   1.043859146585, 17.1041641,  0.07769830780989, 16.2297011,   43.3561,   98.4,  10.1765,
